"ISO_A3","Country_Name","population_WDI","esperance_vie_hom","esperance_vie_fem","pop_0a14_pcent","pop_15a64_pcent","densite_pop","tx_mortalite_p1000","tx_fertilite","pop_rurale_pcent","imports_pcentGDP","exports_pcentGDP","dette_totale","aide_dvpt_pcentGDI","immigration","pop_refugies","transport_aerien","traffic_containers","PIB_par_habitant","PIB_pays","pauvrete_seuil_nat_pcentpop","pauvrete_5.50usd_pcentpop","GINI_index","taux_emploi_pcent","emploi_agric_pcentemploi","ratio_F_H_emploi","depense_recherche_pcentPIB","articles_scient","depense_milit_pcentPIB","surface_agri_pcent","surface_foret_pcent","zones_terr_protegees_pcent","pop_urbaine_pcent","pop_urb_1M_pcent","ressource_eau_pcapita","emissions_CO2","pop_expo_partic_fine_pcent","pop_diabete_pcent","mortalite_maladies_pcent","mortalite_infant_0a5","medecins_p1000","lits_hopital_p1000","depense_educ_pcentPIB","taux_scolarisation_pcent","taux_reussite_primaire_pcent","indice_parite_ecole","pop_rurale_sanitaire_pcent","acces_electricite_pcent","tourisme_internat_pcentexport","apport_nrj_alim_pcentbesoin","preval_obesite_adult_pcent","age_median","indice_dvpt_humain","ventes_PUT_kg_percapita","groupe_economie_pays","groupe_PIB_pays","continent","region_ONU","sous_region","region_WB","Long","Lat","temp_dec19","temp_jan20","temp_fev20","temp_mar20","temp_mean","population","cumul_tests","cumul_tests_p_million","type_test","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split","confirmed_30avr","deaths_30avr","recovered_30avr","confirmed_p_million","deaths_p_million","recovered_p_million","b_confirmed","Asym_confirmed","xmid_confirmed","b_deaths","Asym_deaths","xmid_deaths","b_recovered","Asym_recovered","xmid_recovered","date_first_cases","days_since_first_cases"
"LBY","Libya",6678567,69.9,75.8,28.3,67.3,3.8,5.1,2.2,19.9,39.8,49.9,"NA",0.6,-9997,13874,927153.9,97700,21340,48364208571.4286,"NA","NA","NA",49.7,18.9,52,"NA",161.9,"NA",8.7,0.1,0.2,80.1,"NA",110,9,100,10.2,20.1,12,2.16,3.7,"NA","NA","NA","NA","NA",70.1,"NA",101,31.8,28.9,0.708,"NA","6. Developing region","3. Upper middle income","Africa","Africa","Northern Africa","Middle East & North Africa",17.2316144202501,26.342579244,14.4699951171875,12.0100036621094,14.0400024414063,19.1799865722656,14.9249969482422,6871287,"NA","NA","NA",3645.73,-10,-8,24,100,14.3565891472868,-6,41.487117394879,-6,61,3,18,8.87752178012649,0.436599431809499,2.619596590857,0.085648212293475,79.1260041019823,18362.4756008348,0.025591289422474,12.0239858615388,18401.4852264334,0.121055992183873,20.6005624614822,18363.8255322006,"2020-03-24",37
"LCA","St. Lucia",181889,74.7,77.4,18.5,71.7,298.2,7.2,1.4,81.3,"NA","NA",4.6,0.5,0,1027,"NA",29706,12990,1921848222.22222,"NA","NA","NA",67.1,17.3,79.4,"NA",3.8,"NA",17.4,33.2,18.7,18.7,38,1683,2.3,100,11.6,18.8,16.6,"NA",1.3,5.7,102,92.1,1,90.8,98.8,81.3,94,19.8,34.8,0.917,"NA","6. Developing region","3. Upper middle income","North America","Americas","Caribbean","Latin America & Caribbean",-60.9777007917508,13.9131533875001,27.7199951171875,27.0700012207031,26.8799987792969,26.7400146484375,27.1025024414063,183629,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17,0,15,92.5779697106666,0,81.6864438623529,0.269816563055428,15.2818212261388,18348.3456615087,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.331494584670768,14.9069638991358,18364.7622682075,"2020-03-14",47
"LIE","Liechtenstein",37910,81.6,86,"NA","NA",236.9,7.2,1.4,85.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",30.4,"NA",32.2,43.1,11.9,14.3,"NA","NA",1.2,"NA",9.4,"NA","NA","NA","NA","NA",104.7,90.4,0.9,"NA",100,"NA",139,"NA",43.2,0.869,98,"2. Developed region: nonG7","2. High income: nonOECD","Europe","Europe","Western Europe","Europe & Central Asia",9.53510285407439,47.1573552455,0.730004882812523,-0.130010986328102,1.86000976562502,2.3900085449219,1.21250305175784,38137,"NA","NA","NA","NA","NA","NA","NA","NA",0,"NA",27.444193310693,12,82,1,55,2150.14290583947,26.2212549492619,1442.1690222094,0.16553199715248,81.1268775464645,18341.2361079318,35.6219030936706,1,18355.0990138361,36.6674468999198,55,18357.0974853914,"2020-03-04",57
"LKA","Sri Lanka",21670000,73.4,80.1,24.2,65.3,345.6,6.7,2.2,81.5,28.9,21.7,21.8,-0.3,-489932,113963,5882376,7000000,13110,88900770857.6351,"NA","NA","NA",53.9,24.5,47.5,"NA",1347.5,1.9,43.7,32.9,29.9,18.5,16.2,2541,0.9,46,10.7,17.4,7.4,1.06,"NA",3.4,100.6,102.3,1,96,97.5,27.7,115,5.4,32.8,0.909,"NA","6. Developing region","4. Lower middle income","Asia","Asia","Southern Asia","South Asia",80.6673312903979,7.87889232000009,25.3300109863281,25.8200012207031,26.2400146484375,27.2700134277344,26.1650100708008,21413250,"NA","NA","NA",4348.625,-1,47,61,100,33.9188405797101,48,74.0333069533798,50.5,663,7,154,30.962137928619,0.326900400452991,7.19180880996579,0.004749902172489,96749497.1090289,18904.2090298688,0.276590146116574,7.10094588168496,18352.3961547117,0.044699062100454,306.255378923095,18375.7331948446,"2020-01-27",94
"LTU","Lithuania",2801543,71.9,80.9,14.9,65.4,44.5,14.1,1.6,32.3,71.2,73.6,"NA","NA",-163902,70,26031,750000,34320,53429066429.1251,"NA",3.8,37.3,61.6,6.9,83.5,0.9,2267.3,2,47.2,34.8,17,67.7,"NA",5272,4.4,96,3.8,20.7,4,4.34,7.3,4,103.9,102,1,85.1,100,3.2,138,28.4,43.7,0.521,"NA","2. Developed region: nonG7","3. Upper middle income","Europe","Europe","Northern Europe","Europe & Central Asia",24.1468728692986,55.1727316285001,3.0100036621094,2.95000610351565,2.95998535156252,4.08001098632815,3.25000152587893,2722291,141678,52043.6646927165,"samples tested","NA","NA","NA","NA","NA",15.5652173913043,16,47.7317523056654,16,1385,45,589,508.76265615983,16.530194604471,216.361880489632,0.088846396110481,1542.11193505539,18352.6567411423,0.071626120640978,58.4066644233786,18362.3067882157,0.095081103101409,923.944196649576,18373.7480793328,"2020-02-28",62
"LUX","Luxembourg",607950,79.9,84.4,15.9,69.9,250.1,7.1,1.4,9,182.5,217.6,"NA","NA",48704,3,2099102,"NA",72200,70885325883.0941,"NA",0.7,34.9,59.3,1,86.2,1.3,869.1,0.6,53.7,35.7,40.9,91,"NA",1798,17.4,69,5,10,2.4,2.92,5.1,"NA",102.3,80.3,1,98.7,100,4,134,24.2,39.3,0.485,"NA","2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Western Europe","Europe & Central Asia",6.06510999677758,49.8070384730001,3.67998657226565,3.02999267578127,4.89998779296877,5.58001098632815,4.29749450683596,625976,48118,76868.7617416642,"people tested",3596.06,5,15,17,82.27,27.5181818181818,15,62.0119792575779,15.5,3784,90,3213,6044.96019016704,143.775480210104,5132.78464350071,0.118951093358457,3777.64736235398,18346.8678364465,0.081289632050583,103.015387339094,18356.4700664592,0.010005595073911,285908755.17936,18623.796936451,"2020-02-29",61
"LVA","Latvia",1927174,69.8,79.8,16,64,31,15,1.7,31.9,62,62.1,"NA","NA",-74186,156,4058762,472532,29780,34409229177.9105,"NA",3.4,35.6,61.4,6.8,81.5,0.5,1417.7,2,31.1,54,18.2,68.1,"NA",8496,3.5,89,5,21.9,3.9,3.19,5.8,4.7,99.4,99.3,1,83.4,100,5,130,25.7,43.6,0.804,56.6,"2. Developed region: nonG7","3. Upper middle income","Europe","Europe","Northern Europe","Europe & Central Asia",24.3832878901418,56.8680286665001,2.54000244140627,3.05999145507815,2.61000976562502,3.89998779296877,3.02749786376955,1886202,64245,34060.5088956538,"tests performed","NA","NA","NA","NA","NA",11.9028985507246,13,32.9513030538302,13,858,15,348,454.882350882885,7.9524886517987,184.49773672173,0.083856251199438,876.864098151482,18349.5875789922,0.047903063136069,46.7625031555681,18384.1654207458,0.086440604207422,801.568239448692,18379.642373209,"2020-03-02",59
"MAF","St. Martin (French part)",37264,76.7,83.2,"NA","NA","NA",4.4,1.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12.8,"NA",21.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100,"NA","NA","NA",32.5,0.719,"NA","6. Developing region","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-63.0586998710907,18.0767276065,27.6299987792969,26.85,27.110009765625,26.5700012207031,27.0400024414063,38659,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",38,3,24,982.953516645542,77.6015934193849,620.812747355079,0.113474413929736,39.9321944288859,18349.6211850032,0.174700376559109,2.52524396192644,18352.8557282623,0.080497623689625,32.6925868003428,18365.1129541205,"2020-03-09",52
"MAR","Morocco",36029138,75.2,77.7,27.2,65.8,80.7,5.1,2.4,37.5,46.8,37.2,9.8,0.7,-257096,3888,8132917,4763500,8430,117921394402.361,"NA","NA","NA",45.3,34.7,30.6,"NA",5056.8,3.1,68.5,12.6,30.8,62.5,"NA",848,1.8,100,7,12.4,22.4,"NA",0.9,"NA",112.4,92.9,0.9,79,100,22.1,150,25.6,29.3,0.427,"NA","6. Developing region","4. Lower middle income","Africa","Africa","Northern Africa","Middle East & North Africa",-9.90629658184228,28.67975495,15.1,13.3900085449219,17.0800109863281,15.339990234375,15.2275024414063,36910558,37006,1002.58576421413,"people tested",3689.76,2,18,23,93.38,"NA","NA","NA","NA",4423,170,984,119.830212266095,4.60572825802308,26.6590388582042,0.042925916019935,10415.7332412659,18377.2504382282,0.106086915603719,177.475873052241,18356.2753841366,0.009311781511606,23707452.5851924,18630.6181265517,"2020-03-02",59
"MCO","Monaco",38682,"NA","NA","NA","NA","NA",6.6,"NA",0,"NA","NA","NA","NA","NA",3,316,"NA","NA",7184844192.63456,"NA","NA","NA","NA","NA","NA","NA",45.1,"NA","NA","NA",33.2,100,"NA","NA","NA","NA",2.9,"NA",3.2,"NA","NA",1.4,"NA","NA","NA","NA",100,"NA","NA","NA",53.1,0.885,"NA","2. Developed region: nonG7","2. High income: nonOECD","Europe","Europe","Western Europe","Europe & Central Asia",7.40292928865674,43.7416065444174,10.7199951171875,9.2700134277344,10.610009765625,10.0100036621094,10.1525054931641,39244,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",95,4,64,2420.7522168994,101.926409132606,1630.8225461217,0.124689953520718,98.9403605798873,18347.4969532211,0.051178115001263,8.23549240567187,18372.5440171153,0.037038800327972,544.976953686871,18402.9942028855,"2020-02-29",61
"MDA","Moldova",2706049,67.5,76.1,15.9,72.7,123.5,11.6,1.3,57.4,54.5,31.1,10.7,1.9,-6935,2401,1135999,"NA",7620,11443671435.9024,"NA",16.3,25.9,43.1,35.9,88.1,0.3,210.4,0.3,74.2,12.6,4.2,42.6,11.6,456,1.4,100,5.7,24.9,15.8,"NA",5.8,5.6,91.3,89.9,1,68.9,100,14.5,106,20.1,36.7,"NA","NA","6. Developing region","4. Lower middle income","Europe","Europe","Eastern Europe","Europe & Central Asia",28.8230104227757,46.9730124925001,3.3699890136719,1.39998779296877,4.74001464843752,7.99001464843752,4.37500152587893,4033963,"NA","NA","NA",3834.08,-13,3,16,90.74,16.8985507246377,7,52.91642680147,7,3897,116,1182,966.047531918364,28.7558413401412,293.01210744868,0.05683292169134,6225.94760933939,18369.3364895884,0.055523434389336,229.067723374581,18375.4426583943,0.08078552434658,2463.98686245524,18378.3938876751,"2020-03-08",53
"MDG","Madagascar",26262368,65.1,68.3,40.7,56.3,45.1,6.1,4.1,62.8,34.4,30.9,3.2,5.1,-7500,298,541290,173706,1840,13853432868.227,"NA","NA","NA",86.1,64.2,93.7,0,127.4,0.6,71.2,21.4,5.6,37.2,"NA",14286,0.1,100,4.5,22.9,53.6,"NA","NA",3.2,"NA","NA","NA",6.3,24.1,20.2,89,4.5,19.7,0.527,"NA","7. Least developed region","5. Low income","Africa","Africa","Eastern Africa","Sub-Saharan Africa",46.728566758427,-18.7690162089999,19.3200012207031,18.6299987792969,18.7900024414063,17.1899963378906,18.4824996948242,27691019,"NA","NA","NA",3258.17,-5,1,16,94.84,"NA","NA","NA","NA",128,0,92,4.62243733247953,0,3.32237683271966,0.120834558192873,130.673893371737,18351.7501704247,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.056119417700329,245.002056098004,18381.7414109385,"2020-03-20",41
"MDV","Maldives",515696,77.2,80.5,20.1,76.1,1719,2.8,1.9,60.2,74.1,70.1,4.8,2.4,56851,73,1147247,88898,14110,5327457149.72581,"NA","NA","NA",69.8,8.5,49.4,"NA",7.4,"NA",26.3,3.3,1.2,39.8,26,69,3.1,0,9.2,13.4,8.6,1.04,"NA",4.1,97.1,97.4,"NA",99.4,99.8,82.7,117,7.9,28.2,0.796,"NA","6. Developing region","3. Upper middle income","Seven seas (open ocean)","Asia","Southern Asia","South Asia",73.5338635175502,4.19947474404198,31.7600036621094,31.5700012207031,31.8799987792969,31.6400085449219,31.7125030517578,540542,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",468,1,17,865.797662346312,1.84999500501349,31.4499150852293,0.01531509022995,36436526.7052415,18540.9810233721,36.8504413177427,1,18380.0972992022,0.260250644765744,15.441993629676,18345.9840996207,"2020-03-08",53
"MEX","Mexico",126190788,72.1,77.8,26.6,66.2,64.9,6,2.1,19.8,39.5,37.7,14.6,0,-300000,12870,64569640,6980300,19340,1220699479845.98,41.9,"NA","NA",60.7,12.6,56.3,"NA",16345.6,0.5,54.6,33.9,14.5,80.2,"NA",3398,4,100,13.5,15.7,12.7,2.25,1.6,4.9,105.8,104.1,1,82.4,100,5,132,28.4,28.3,"NA","NA","4. Emerging region: MIKT","3. Upper middle income","North America","Americas","Central America","Latin America & Caribbean",-102.258149518645,23.6292664240001,11.610009765625,11.3099914550781,13.0800109863281,18.0299926757813,13.5075012207031,128932753,96448,748.048868544675,"cases tested",2765.6,0,25,50,88.62,17.7560637560638,23,46.5377320971152,21.5,19224,1859,11423,149.100981346454,14.4183689306626,88.5965725093918,0.019453475162876,630721.622353464,18446.2509049216,0.038487008676255,11519.9690894646,18397.682709302,0.012493489520753,796098464.864248,18574.3125697461,"2020-02-28",62
"MKD","North Macedonia",2082958,73.7,77.7,16.5,69.8,82.6,10.1,1.5,42,69.2,55.4,13.7,1.4,-4999,1731,"NA","NA",15670,12672131053.1578,21.9,18.2,34.2,55.1,15.4,63.8,0.4,493.1,1,50.2,39.6,9.7,58,12.8,2599,3.6,100,9.3,20.3,9.9,"NA",4.4,"NA",97.1,91.1,1,97.9,100,5.1,120,23.9,37.9,0.767,214,"6. Developing region","3. Upper middle income","Europe","Europe","Southern Europe","Europe & Central Asia",21.7310211391022,41.6051489260001,3.2700134277344,0.629998779296898,4.6199890136719,7.1199890136719,3.90999755859377,2083380,"NA","NA","NA","NA","NA","NA","NA","NA",19.3595011005136,17,55.6018722598416,17,1465,77,738,703.18424867283,36.9591721145446,354.232065201739,0.061172479935045,2005.05753052522,18361.6361286556,0.074829475519074,89.3556224926141,18362.8247824941,0.021502747785664,154402.902988211,18459.9354629309,"2020-02-26",64
"MLI","Mali",19077690,58.1,59.6,47.5,49.9,15.6,9.7,5.9,57.6,35.8,22.2,4.4,8.9,-200000,158275,"NA","NA",2260,17163432832.0957,"NA","NA","NA",70.8,62.6,76,0.3,90.4,2.9,33.8,3.8,8.2,42.4,"NA",3543,0.1,100,2.4,24.6,97.8,0.14,"NA",3.1,80.2,49.6,0.9,29.4,43.1,6.1,141,7.1,15.8,0.711,"NA","7. Least developed region","5. Low income","Africa","Africa","Western Africa","Sub-Saharan Africa",-0.754059977365043,17.6056706750001,23.339990234375,22.1499877929688,24.360009765625,29.6199890136719,24.8674942016602,20250834,"NA","NA","NA",2660.695,-6,0,1,78.83,9.96944444444445,0,19.9207299753449,0,490,26,135,24.1965343254505,1.28389773971778,6.6663921100731,0.035594512845827,2661.92270148907,18396.5536957946,0.050016847326213,54.155457744141,18375.8995770337,0.036347561720484,1090.00747796312,18401.7733930798,"2020-03-25",36
"MLT","Malta",484630,80.2,84.6,14.3,65.4,1511,7.6,1.3,5.4,128.5,149.8,"NA","NA",4501,4,2576898,3314500,39230,14553422928.8831,"NA",0.3,29.2,56.5,1,68.7,0.5,422,0.5,32.4,1.1,30.3,94.6,12.2,116,5.4,100,8.3,10.8,7,"NA",4.8,"NA",105,101.9,1,100,100,8.8,135,31,41.8,"NA","NA","2. Developed region: nonG7","2. High income: nonOECD","Europe","Europe","Southern Europe","Middle East & North Africa",14.4381413095001,35.8950056010001,17.3200012207031,14.4099975585938,15.9699951171875,15.610009765625,15.8275009155274,441539,"NA","NA","NA","NA","NA","NA","NA","NA",22.5159420289855,8,57.7705984771885,7,465,4,351,1053.13460419125,9.05922240164515,794.946765744362,0.072853177617579,541.443215279147,18352.4976763013,0.577843057173268,3.37737633571128,18360.4116265911,0.076246057706929,830.119855226069,18379.7410411702,"2020-03-07",54
"MMR","Myanmar",53708395,63.8,69.9,26.4,67.8,82.2,8.2,2.2,69.4,28,20,4.6,2.4,-816564,1145154,3407788.4,1288000,6500,71214803377.8284,"NA",60.8,30.7,61.7,48.9,61.4,0,230.7,2.9,19.5,43.6,6.4,30.6,21.9,19185,0.4,100,3.9,24.2,46.2,0.62,"NA","NA",112.2,"NA",1,59.3,69.8,10.6,118,5.7,28.2,0.735,"NA","7. Least developed region","5. Low income","Asia","Asia","South-Eastern Asia","East Asia & Pacific",95.9082777255587,19.2618357340001,22.839990234375,22.8799987792969,24.2900024414063,28.3699890136719,24.5949951171875,54409794,8794,161.625313266211,"samples tested",3496.665,-81,-1,21,81.89,16.3616724738676,-1,44.8491986062718,-1,151,6,27,2.77523564966998,0.110274264225297,0.496234189013838,0.097122473508022,203.83164975411,18366.9697438113,0.145392663936918,5.66442588945378,18359.2101141488,0.010563691117437,47191170.7392165,18634.5387435125,"2020-03-27",34
"MNE","Montenegro",622227,74.3,79.2,18.2,66.8,46.3,10.7,1.7,33.2,64.5,41.1,52.1,2.8,-2400,716,565522,"NA",20930,5504166666.66667,"NA","NA","NA",54.4,7.9,74,"NA",249.5,1.5,19,61.5,6.4,66.8,48,"NA",3.6,100,9,20.6,2.5,"NA","NA","NA",98.1,90.3,1,93.9,100,52.2,141,24.9,40.7,0.816,"NA","6. Developing region","3. Upper middle income","Europe","Europe","Southern Europe","Europe & Central Asia",19.2894488845079,42.7014100745001,4.42998657226565,1.55999145507815,3.6400085449219,4.61000976562502,3.55999908447268,628062,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",322,7,214,512.688237785442,11.1453964735966,340.730692192809,0.128794875036893,333.295775338177,18351.5654409997,0.033818999985223,20.2643354658503,18382.2741097198,0.087153188767644,428.352975658577,18377.5388657418,"2020-03-17",44
"MNG","Mongolia",3170208,65.6,74,30.4,65.5,2,6.3,2.9,31.6,57.4,59.8,56.4,2.8,-4262,2254,670360,"NA",12500,13066749138.3261,28.4,"NA","NA",59.7,27.4,80.3,0.1,140.9,0.8,71.5,8,17.7,68.4,"NA",11836,7.1,97,4.7,30.2,16.3,2.89,"NA",5.2,102.9,91.5,"NA",41.5,85.9,6.8,113,19.6,28.3,"NA","NA","6. Developing region","4. Lower middle income","Asia","Asia","Eastern Asia","East Asia & Pacific",105.408425665267,46.8586913050001,-14.8400024414062,-15.4,-11.1000122070312,-4.6099914550781,-11.4875015258789,3278292,"NA","NA","NA",5226.275,-69,-43,-18,66.01,-5.31652661064426,17,15.7931221162224,18.5,38,0,10,11.5914018641414,0,3.05036891161617,0.031065404739477,92.2408472100431,18374.838408235,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.052327855194499,18.5370092410229,18371.2156294889,"2020-03-10",51
"MOZ","Mozambique",29495962,57.1,63,44.7,52.4,37.5,8.5,4.9,64,61.1,38.6,24.6,12.6,-25000,58,540124,454300,1430,14717223206.9,"NA","NA","NA",78.1,70.3,97.8,"NA",139.3,1,63.5,48,21.6,36,27.4,3816,0.3,100,3.3,18.4,73.2,0.07,"NA",6.4,107.8,47.1,0.9,16.8,27.4,5.5,106,6,17.2,0.676,32.9,"7. Least developed region","5. Low income","Africa","Africa","Eastern Africa","Sub-Saharan Africa",34.6710617027202,-18.6374659219999,31.1499877929688,30.360009765625,28.6799865722656,29.8099914550781,29.9999938964844,31255435,"NA","NA","NA",2220.805,-40,6,10,53.83,13.2105263157895,1,24.6868693320346,1.5,76,0,12,2.43157710011075,0,0.383933226333276,0.018927847035464,2343.10689713782,18445.3966354587,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.172749181679686,14.816310808092,18370.2385456649,"2020-03-22",39
"MRT","Mauritania",4403319,63.1,66.3,40.1,56.8,4.3,7.2,4.6,46.3,72,46,15.7,8.6,25002,37059,454435.7,90168,4120,5234817927.17087,"NA","NA","NA",45.9,51.3,45.8,"NA",20.3,3,38.5,0.2,0.6,53.7,"NA",102,0.7,100,7.1,18.1,75.7,0.18,"NA",2.6,96.7,69.7,1.1,18.9,42.9,0.3,124,11.3,20.5,0.446,"NA","7. Least developed region","5. Low income","Africa","Africa","Western Africa","Sub-Saharan Africa",-11.4826483011782,21.011440334,22.3300109863281,20.839990234375,24.8699890136719,25.8200012207031,23.4649978637696,4649660,"NA","NA","NA",3194.795,-38,5,15,80.95,"NA","NA","NA","NA",8,1,6,1.72055591161504,0.21506948895188,1.29041693371128,0.128222685035842,7.38945896354816,18344.3763721377,36.8643757850181,1,18350.0970128131,0.033741020052909,21.0463392862191,18385.4474912927,"2020-03-14",47
"MSR","Montserrat","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",33.2,0.584,"NA","6. Developing region","4. Lower middle income","North America","Americas","Caribbean","Latin America & Caribbean",-62.188130927252,16.7523054055001,26.9900146484375,26.3300109863281,26.0700012207031,25.9500061035156,26.3350082397461,4999,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11,1,2,2200.4400880176,200.0400080016,400.080016003201,0.108756998768486,11.8794373103014,18350.1923513424,0.022550597230343,0.154437609489212,18300.2179840662,0.369992387127026,2.05543439480092,18365.8055889512,"2020-03-18",43
"MTQ","Martinique","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.645,"NA","NA","NA","NA","NA","NA","NA",-60.997992,14.652649,27.5500122070313,26.8999877929688,26.6599975585938,26.5299926757813,26.9099975585938,375265,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",178,14,83,474.331472426152,37.3069697413827,221.177034895341,0.139769568702479,171.444959420569,18345.2553803034,0.053015754663137,26.1424022443824,18369.460140118,0.138487024698246,81.1052556868204,18355.5089675628,"2020-03-07",54
"MUS","Mauritius",1265303,71.3,77.7,17.8,70.7,623.3,8.5,1.4,59.2,55.1,42.5,17,0.4,0,161,1745291,451446,26080,14220348672.7333,"NA",12.1,36.8,58.3,6.1,62.7,0.4,126.9,0.2,42.4,19,4.7,40.8,5.7,2182,3.4,100,22,22.6,15.5,"NA","NA",5,101.5,98.2,1,95.2,98,38.9,124,11.5,35.3,0.579,"NA","6. Developing region","3. Upper middle income","Seven seas (open ocean)","Africa","Eastern Africa","Sub-Saharan Africa",57.5830030538043,-20.2536353494999,25.8999877929688,25.6599975585938,26.1299987792969,23.860009765625,25.3874984741211,1271767,"NA","NA","NA",3061.88,0,2,31,91.4,30.0686274509804,1,82.0672268907563,1,332,10,310,261.054108181766,7.86307554764355,243.75534197695,0.150405508597134,344.890336359038,18350.5488244924,0.143318686767523,9.65143134405653,18349.4907306396,0.252298165354526,325.77393480501,18368.4563787519,"2020-03-18",43
"MWI","Malawi",18143315,60.7,66.9,43.9,53.5,192.4,6.6,4.2,83.1,36.2,29.2,5.7,18,-80263,475,10545,"NA",1310,7064971176.34408,"NA","NA","NA",76.7,43.6,89.5,"NA",231.2,0.8,61.4,33.2,22.9,16.9,24,991,0.1,100,4.5,16.4,49.7,0.02,"NA",4.7,145.5,"NA",1,24.7,12.7,3.8,115,4.7,16.5,0.933,192.3,"7. Least developed region","5. Low income","Africa","Africa","Eastern Africa","Sub-Saharan Africa",33.7362656980099,-13.2753642779999,23.8000122070313,24.0400024414063,22.9399963378906,23.1400085449219,23.4800048828125,19129955,"NA","NA","NA",2332.995,-51,-10,16,59.39,"NA","NA","NA","NA",37,3,7,1.93413941642832,0.156822114845539,0.365918267972925,0.052646822934936,86.1587566491845,18377.6117832808,0.165656054840286,3.05053689929486,18361.6426303691,0.099296616918876,11.0758267699845,18376.2994506561,"2020-04-02",28
"MYS","Malaysia",31528585,74.1,78.2,24,69.3,96,5.1,2,24,63.2,70,"NA",0,249999,823,60481772,24956000,30650,358581943446.259,"NA","NA","NA",64.3,10.4,65.8,"NA",23661.3,1,26.3,67.6,19.1,76,46.2,19420,8.1,91,16.7,17.2,7.8,"NA","NA",4.8,105.3,99.5,1,98.7,100,8.8,125,15.3,28.5,"NA","NA","6. Developing region","3. Upper middle income","Asia","Asia","South-Eastern Asia","East Asia & Pacific",102.111531335442,3.98944733250005,27.0800109863281,27.7799926757813,27.8000122070313,28.6899963378906,27.8375030517578,32365998,195833,6050.57814067714,"cases tested",3933.125,-9,53,53,71.03,34.0568181818182,52,68.7462209302326,52,6002,102,4171,185.441524157543,3.15145542553639,128.869809606983,0.073251139161801,6588.72731505724,18349.6382115533,0.09575544994075,105.175933477288,18351.6352041947,0.078764571612964,5200.50674566099,18362.4662625806,"2020-01-25",96
"MYT","Mayotte","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.921,180.1,"NA","NA","NA","NA","NA","NA",45.153713,-12.835302,29.6599975585938,27.6700073242188,28.4699951171875,28.2199951171875,28.5049987792969,272813,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",539,4,235,1975.71230110002,14.6620578931356,861.395901221716,0.026371290701673,2102.17947849556,18396.959186284,0.133571105516564,4.27441562223601,18356.4998804287,0.037036179277152,1077.03716300581,18394.1448196338,"2020-03-15",46
